Marca,Modelo,Version
,TRAVERSE,
,VIVANT,
,ZAFIRA,
CITROEN,BERLINGO,
,C3,
,C4,
,C5,
,C-ELYSEE,
,DS3,
,DS4,
,PICASSO,
,JUMPER,
DAEWOO,CIELO,
,DAMAS,
,ESPERO,
,LANOS,
,LEGANZA,
,LEMANS,
,MAGNUS,
,MATIZ,
,MUSSO,
,NUBIRA,
,PRINCE,
,RACER,
,TICO,
,TOSCA,
DAIHATSU,CHARADE,
,CUORE,
,DELTA,
,F20,
,FEROZA,
,TERIOS,
DODGE,100,
,500,
,CALIBER,
,CARAVAN,
,CHALLENGER,
,CORONET,
,DART,
,DURANGO,
,JOURNEY,
,MAGNUM,
,NEON,
,NITRO,
,POLARA,
,RAM,
,RAM 2500,
,RAM-1500,
DONGFENG,CITYVAN,
,MINIVAN,
,S-30,
,SUCCE,
,SUPERVAN,
,ZNA,
FAW,ACTIS,
,D60,
,N5 1.0,
,SIRIUS,
FORD,BRONCO,
,CORTINA,
,ECO SPORT,
,EDGE,
,ESCAPE,
,ESCORT,
,EXPEDITION,
,EXPLORER,
,F-150,
,F-250,
,F-350,
,F-450,
,FESTIVA,
,FIESTA,
,FOCUS,
,FUSION,
,GALAXIE,
,GRANADA,
,LASER,
,MUSTANG,
,RANGER,
,RAPTOR,
,TAURUS,
,THUNDERBIRD,
,TRANSIT,
,WINDSTAR,
FOTON,AUMAN,
,SAUVANA,
GEELY,EC-7,
,GC2,
,GC5,
,GC6,
,GC7,
GREATWALL,3,
,5,
,6,
,C30,
,M4,
,WINGLE,
HAVAL,H2,
,H3,
,H6,
HINO,300,
,500,
,700,
,DUTRO,
,FC,
,FG,
,FM,
,GH,
HONDA,ACCORD,
,ACURA,
,CITY,
,CIVIC,
,CR-V,
,CR-Z,
,Fit,
,HR-V,
,INTEGRA,
,LEGEND,
,ODYSSEY,
,PARTNER,
,PASSPORT,
,PILOT,
,PRELUDE,
,RIDGELINE,
,WR-V,
HYUNDAI,ACCENT,
,AVANTE,
,COUNTY,
,COUPE,
,CRETA,
,ELANTRA,
,EON,
,EQUUS,
,EXCEL,
,GALLOPER,
,GENESIS,
,GETZ,
,H1,
,H100,
,HD 120,
,HD 160,
,HD 250,
,HD 45,
,HD 65,
,HD 72,
,HD 78,
,I10,
,I20,
,I30,
,MATRIX,
,MIGHTY,
,PORTER,
,SANTA FE,
,SONATA,
,STAREX,
,TERRACAN,
,TIBURON,
,TUCSON,
,TUSCANI,
,VELOSTER,
,VERACRUZ,
HAVAL,H2,
,H3,
,H6,
JAC,J2,
,J3,
,,
,J4,
JEEP,CHEROKEE,
,COMMANDER,
,COMPASS,
,LANDWIN,
,LIBERTY,
,PATRIOT,
,RENEGADE,
,RUBICON,
,WAGONEER,
,WRANGLER,
KIA,BESTA,
,CADENZA,
,CARENS,
,CARNIVAL,
,CERATO,
,K-2500,
,K-2700,
,K-3000,
,KOUP,
,LOTZE,
,MOHAVE,
,OPIRUS,
,OPTIMA,
,PICANTO,
,PRIDE,
,QUORIS,
,RIO,
,SEDONA,
,SEPHIA,
,SORENTO,
,SOUL,
,SPORTAGE,
,STINGER,
,TOWNER,
LAND ROVER,DEFENDER,
,DISCOVERY,
,FREELANDER,
,RANGE ROVER,
,SANTANA,
LIFAN,320,
,330,
,520,
,620,
,630,
,X60,
MAHINDRA,SCORPIO,
,PICK UP,
,XUV 500,
MAZDA,2,
,3,
,5,
,6,
,121,
,323,
,626,
,B-2300,
,B-2500,
,B-2600,
,B-2900,
,BONGO,
,BT-50,
,CX-3,
,CX-5,
,CX-7,
,CX-9,
,DEMIO,
,FAMILIA,
,MPV,
,MX 5,
,PREMACY,
,PROTEGE,
,ROADSTER,
,RX-7,
,RX-8,
,SPEED3,
,TRIBUTE,
MERCEDES BENZ,180,
,"190, 190-E",
,200,
,"230,230-E",
,260,
,280,
,"300, 300E",
,450,
,A200,
,A250,
,A45 AMG,
,AMGT GT,
,B180,
,B200,
,"C-180, C180K",
,"C-200, C200K",
,C-220,
,"C-230, C 230K",
,C-240,
,C-250,
,C-280,
,C-300,
,C-320,
,C-350,
,C32-AMG,
,C55-AMG,
,C63-AMG,
,CL-500,
,CL420,
,CLA 180,
,CLA 200,
,CLA 250,
,CLA 45,
,CLC 200,
,CLK-200,
,CLK-230 KOMPRESSOR,
,CLK-320,
,CLS 63 AMG,
,CLS-350,
,CLS55AMG,
,E-200 KOMPRESSOR,
,E-240,
,E-250,
,E-280,
,E-300,
,E-320,
,E-350,
,E-500,
,G-500,
,GL-400,
,GL-450,
,GL-500,
,GL-550,
,GLA-45,
,GLA-200,
,GLA-250,
,GLC-250,
,GLE-63,
,GLE-400,
,GLK 280,
,GLK 300,
,GLK 350,
,ML 300,
,ML 320,
,ML 350,
,ML 500,
,ML63 AMG,
,S280,
,S320,
,S430,
,S500,
,SEC380,
,SL-300,
,SL-500,
,SLK 200K,
,SLK 230 KOMPRESSOR,
,SLK 300,
,SLK 350,
,SPRINTER,
MG,3,
,350,
,5,
,GT,
MINI,CABRIO,
,CLN,
,COOPER,
,MORRIS,
MITSUBISHI,ASX,
,DION,
,ECLIPSE,
,FTO,
,GALANT,
,L200,
,L300,
,LANCER,
,LIBERO,
,MIRAGE,
,MONTERO,
,MONTERO SPORT,
,NATIVA,
,OUTLANDER,
,PAJERO,
NISSAN,720,
,240-SX,
,350Z,
,370Z,
,AD,
,ALMERA,
,ALTIMA,
,BLUEBIRD,
,FIERA,
,FRONTIER,
,GT-R,
,HARDBODY,
,JUKE,
,LAFESTA,
,LARGO,
,LAUREL,
,LUCINO,
,MARCH,
,MAXIMA,
,MICRA,
,MURANO,
,NAVARRA,
,NOTE,
,NP 300,
,PATHFINDER,
,PATROL,
,PRESEA,
,PRIMERA,
,PULSAR,
,QASHQAI,
,SENTRA 1.8,
,SENTRA 2.0,
,SENTRA V16,
,SILVIA,
,SKYLINE,
,SUNNY,
,TEANA,
,TERRANO,
,TIIDA,
,URVAN,
,VERSA,
,WINGROAD,
,X-TERRA,
,X-TRAIL,
PEUGEOT,106,
,201,
,203,
,205,
,206,
,207,
,208,
,301,
,304,
,306,
,307,
,308,
,404,
,405,
,406,
,407,
,505,
,508,
,605,
,607,
,3008,
,BIPPER,
,BOXER,
,EXPERT,
,PARTNER,
,RCZ COUPE,
,TEPEE,
PORSCHE,911,
,BOXSTER,
,CAYENNE,
,CAYMAN-S,
,MACAN,
,PANAMERA TURBO,
RENAULT,CAPTUR,
,CLIO,
,DUSTER,
,FLUENCE,
,FUEGO,
,KANGOO,
,KOLEOS,
,LAGUNA,
,LOGAN,
,MASTER,
,MEGANE,
,OROCH,
,SANDERO,
,SCENIC,
,STEPWAY,
,SYMBOL,
SEAT,IBIZA,
,LEON,
SSANGYONG,ACTYON,
,KORANDO,
,REXTON,
,RODIUS,
,TIVOLI,
SUBARU,1300,
,BRZ,
,FORESTER,
,GL,
,IMPREZA,
,IMPREZA GT,
,LEGACY,
,LEONE,
,OUTBACK,
,PLEO,
,SAMBAR,
,TRIBECA,
,WRX,
,XV,
SUZUKI,AERIO,
,ALTO,
,APV,
,BALENO,
,CARRY,
,CELERIO,
,CIAZ,
,ERTIGA,
,IGNIS,
,JIMNY,
,KIZASHI,
,MARUTI,
,NOMADE,
,S-CROSS,
,SAMURAI,
,SWIFT,
,SX-4,
,VITARA,
,WAGON R,
,XL7,
TOYOTA,4RUNNER,
,86,
,AE-86,
,AGYA,
,AURIS,
,AVALON,
,AVALAN,
,AVENSIS,
,CALDINA,
,CAMRY,
,CARINA,
,CELICA,
,COASTER,
,COROLLA,
,CORONA,
,CORSA,
,CRESSIDA,
,CROWN,
,DUET,
,ETIOS,
,FIELDER,
,FJ CRUISER,
,FORTUNER,
,HIACE,
,HIGHLANDER,
,HILUX,
,LAND CRUISER,
,LEVIN,
,PLATZ,
,PREMIO,
,PRIUS,
,PROBOX,
,RAV4,
,SEQUOIA,
,SIENNA,
,SPRINTER,
,SPRINTER CARIB,
,STARLET,
,STOUT,
,SUCCEED,
,TACOMA,
,TERCEL,
,TOWN-ACE,
,TUNDRA,
,URBAN CRUISER,
,VITZ,
,WISH,
,YARIS,
,ZELAS,
VOLKSWAGEN,1200,
,1600,
,17.210 OD,
,AMAROK,
,AMAZON,
,BEETLE,
,BORA,
,CABRIOLET,
,CC,
,CROSSFOX,
,DERBY,
,ESCARABAJO,
,ESCARABAJO CABRIOLET,
,FOX,
,GOL,
,Gol Crossover,
,GOL STATION,
,GOLF,
,GOLF GTI,
,GOLF VARIANT,
,GTI,
,JETTA,
,KOMBI,
,MULTIVAN,
,NEW BEETLE,
,PANEL,
,PASSAT,
,PASSAT CC,
,POLO,
,Polo Sedan,
,QUANTUM,
,RABBITT,
,SCIROCCO,
,SAPACE FOX,
,TIGUAN,
,TOUAREG,
,TRANSPORTER,
,VANAGON,
,VARIANT,
,VENTO,
,WORKER,
VOLVO,850,
,940,
,960,
,S40,
,S60,
,S80,
,V40,
,V60,
,VM,
,XC60,
,XC90,
